Edep_detectavel_MeV,E_measured_MeV,Canal_MCA
0.662,0.6710035938250093,858.8846000960119
0.10444,0.10781120792237107,137.99834614063496
0.662,0.682636756744476,873.7750486329293
0.662,0.6805375153316351,871.088019624493
0.0612621,0.058070976643775925,74.33085010403319
0.32939,0.33789558309683654,432.5063463639508
0.321144,0.33173534000641797,424.621235208215
0.200701,0.18658989433476939,238.8350647485048
0.662,0.6617841894992762,847.0837625590735
0.662,0.6543255057549393,837.5366473663223
0.0345723,0.03154117953562162,40.372709805595676
0.0350839,0.032648565955626374,41.79016442320176
0.381533,0.3731441577731634,477.62452194964914
0.662,0.6729440027390151,861.3683235059393
0.260669,0.26458539413248927,338.66930448958624
0.0356202,0.04199077043721063,53.74818615962961
0.662,0.6677497166159522,854.7196372684188
0.125594,0.11928454679687539,152.6842199000005
0.662,0.6775155795356067,867.2199418055766
0.231883,0.20881369418161827,267.2815285524714
0.322394,0.3063973571840459,392.1886171955788
0.411172,0.40685812427086177,520.7783990667031
0.210807,0.19487961025312361,249.44590112399823
0.322622,0.33250073545818404,425.6009413864756
0.44283,0.45363971214758547,580.6588315489093
0.0589311,0.05544007065801312,70.96329044225679
0.662,0.7012026724970938,897.5394207962801
0.397721,0.40650274579519624,520.3235146178512
0.139192,0.14414871005559968,184.5103488711676
0.0304622,0.02893348733238063,37.03486378544721
0.511594,0.536615231612722,686.8674964642842
0.444418,0.42567887342175115,544.8689579798415
0.407689,0.41363503525224055,529.4528451228679
0.19485,0.18911466136959254,242.06676655307845
0.662,0.6285409745228695,804.532447389273
0.0416081,0.039361833910141975,50.38314740498173
0.662,0.6395977369156602,818.6851032520451
0.662,0.6824892491048794,873.5862388542456
0.443408,0.4376160319849794,560.1485209407737
0.662,0.6592052355565235,843.7827015123502
0.0224017,0.029772962696212112,38.109392251151505
0.108003,0.10733897139890565,137.39388339059923
0.202061,0.2037105349082881,260.7494846826088
0.662,0.6773263770506859,866.9777626248779
0.253988,0.262839760178561,336.43489302855806
0.441745,0.4217979817083511,539.9014165866894
0.312011,0.29855671001533957,382.1525888196346
0.169761,0.1724083355191439,220.6826694645042
0.174247,0.17495291168857596,223.93972696137723
0.662,0.6869375706017404,879.2800903702278
0.662,0.6666846287549089,853.3563248062833
0.196524,0.2044909486946441,261.74841432914445
0.438148,0.4476302115131765,572.9666707368659
0.0207443,0.02690178095334323,34.434279620279334
0.4667,0.4493704265505117,575.1941459846549
0.194832,0.197661052417529,253.0061470944371
0.069201,0.05955421318181627,76.22939287272483
0.108409,0.10738557743271629,137.45353911387684
0.409175,0.41358320908765706,529.3865076322011
0.144536,0.138350408694319,177.08852312872833
0.662,0.6825037584627063,873.6048108322641
0.371561,0.3903178816256366,499.6068884808148
0.0176632,0.014941844831199817,19.125561383935764
0.662,0.6249850225042182,799.9808288053993
0.438889,0.4575398131315696,585.6509608084091
0.422763,0.41962129473000853,537.115257254411
0.267201,0.25735731620452734,329.417364741795
0.352012,0.3363649965116221,430.5471955348763
0.471938,0.49327798391245037,631.3958194079364
0.0467917,0.04382523374885237,56.09629919853103
0.662,0.6486176941897736,830.2306485629101
0.146183,0.13903125164526414,177.9600021059381
0.471772,0.48401538871817806,619.5396975592679
0.0751801,0.0730394003464134,93.49043244340916
0.418927,0.4210760026245522,538.9772833594268
0.0442593,0.042823959742341836,54.814668470197546
0.0661544,0.06809664909529888,87.16371084198256
0.298617,0.2913680954380461,372.951162160699
0.0765596,0.08136862435047891,104.15183916861301
0.155955,0.15706521550224956,201.04347584287945
0.662,0.6696265446587177,857.1219771631587
0.0320273,0.033201996051575186,42.49855494601624
0.662,0.6666435423554207,853.3037342149385
0.141716,0.15208577493035344,194.6697919108524
0.342748,0.3846473654407789,492.348627764197
0.0935477,0.08543878286403236,109.36164206596143
0.272364,0.2911529370277268,372.67575939549033
0.149615,0.1441981602050674,184.57364506248626
0.0282551,0.026763137908293325,34.25681652261546
0.338443,0.3455970164589616,442.3641810674709
0.662,0.685834626168413,877.8683214955686
0.330835,0.31911681507764034,408.4695232993796
0.364004,0.35850728951543964,458.8893305797627
