energia_prestep_MeV,count_in_bin,sum_edep_bin_MeV,edep_media_por_entrada_MeV
2.712499999999999911e-01,8.810000000000000000e+02,1.304386444091796875e+02,1.480574851409530990e-01
2.747499999999999387e-01,8.670000000000000000e+02,1.210553512573242045e+02,1.396255493164062222e-01
2.782499999999999973e-01,7.980000000000000000e+02,1.123868255615233949e+02,1.408356210044152956e-01
2.817499999999999449e-01,7.580000000000000000e+02,1.070819931030273011e+02,1.412691201886903669e-01
2.852500000000000036e-01,7.580000000000000000e+02,1.080224838256835938e+02,1.425098731209546166e-01
2.887499999999999512e-01,7.040000000000000000e+02,9.457923889160156250e+01,1.343455097892067573e-01
2.922500000000000098e-01,7.010000000000000000e+02,9.755642700195312500e+01,1.391675135548546827e-01
2.957499999999999574e-01,6.490000000000000000e+02,8.272547149658203125e+01,1.274660577759353375e-01
2.992500000000000160e-01,6.610000000000000000e+02,8.671574401855468750e+01,1.311887201490993804e-01
3.027499999999999636e-01,6.210000000000000000e+02,7.845415496826171875e+01,1.263351931856066257e-01
3.062499999999999667e-01,6.120000000000000000e+02,7.866280364990234375e+01,1.285339928919972952e-01
3.097499999999999698e-01,6.440000000000000000e+02,8.279051208496093750e+01,1.285566957841008384e-01
3.132499999999999174e-01,5.770000000000000000e+02,7.297642517089843750e+01,1.264756068819730406e-01
3.167499999999999760e-01,5.850000000000000000e+02,7.045006561279296875e+01,1.204274625859708819e-01
3.202499999999999236e-01,5.650000000000000000e+02,7.070233154296875000e+01,1.251368699875552992e-01
3.237499999999999822e-01,6.080000000000000000e+02,7.784030151367187500e+01,1.280268117001182038e-01
3.272499999999999298e-01,5.240000000000000000e+02,6.477816772460937500e+01,1.236224574897125533e-01
3.307499999999999885e-01,5.350000000000000000e+02,7.170954132080078125e+01,1.340365258332724963e-01
3.342499999999999361e-01,5.730000000000000000e+02,7.303404998779296875e+01,1.274590750223262847e-01
3.377499999999999947e-01,5.270000000000000000e+02,6.343824005126953125e+01,1.203761670802078326e-01
3.412499999999999423e-01,5.000000000000000000e+02,6.365335845947266336e+01,1.273067169189453229e-01
3.447500000000000009e-01,5.800000000000000000e+02,7.318154144287109375e+01,1.261750714532260120e-01
3.482499999999999485e-01,5.810000000000000000e+02,7.427121734619140625e+01,1.278334205614309882e-01
3.517500000000000071e-01,5.970000000000000000e+02,7.648435974121093750e+01,1.281145054291640550e-01
3.552499999999999547e-01,5.550000000000000000e+02,7.482350921630859375e+01,1.348171337230785471e-01
3.587500000000000133e-01,5.850000000000000000e+02,7.521868133544921875e+01,1.285789424537593373e-01
3.622499999999999609e-01,5.930000000000000000e+02,8.056890869140625000e+01,1.358666251119835522e-01
3.657499999999999640e-01,6.000000000000000000e+02,7.864854431152343750e+01,1.310809071858723973e-01
3.692499999999999671e-01,6.160000000000000000e+02,8.210026550292968750e+01,1.332796517904702716e-01
3.727499999999999147e-01,5.840000000000000000e+02,7.727626800537109375e+01,1.323223767215258584e-01
3.762499999999999734e-01,5.660000000000000000e+02,7.498836517333984375e+01,1.324882776914131643e-01
3.797499999999999210e-01,6.090000000000000000e+02,8.287485504150390625e+01,1.360835058152773391e-01
3.832499999999999796e-01,6.060000000000000000e+02,8.900835418701171875e+01,1.468784722557949229e-01
3.867499999999999272e-01,6.420000000000000000e+02,9.136633300781250000e+01,1.423151604483060828e-01
3.902499999999999858e-01,5.940000000000000000e+02,8.046820068359375000e+01,1.354683513191813904e-01
3.937499999999999334e-01,6.000000000000000000e+02,8.389102935791015625e+01,1.398183822631836049e-01
